1,aluminum,n. 铝
2,bonanza,n. 富矿带， 带来好运的事物，富源
3,borehole,n.地上凿洞
4,calamity,n. 灾难， 不幸事件
5,cataclysm,n. 大洪水， 地震， (社会政治的)大变动
6,core,n.中心，核心，精髓； 果心，果核； [地质学]地核； [计] 磁心 vt.去（果）核，挖去…的果心； 提取岩芯（样品）
7,crater,n. 弹坑， 火山口
8,curst,vbl.curse的过去式及过去分词
9,debacle,n. 崩溃， 解冻，溃败，灾害
10,deluge,n. 大洪水， 暴雨，泛滥 v.泛滥，大量涌入
11,diamond,n. 钻石，像钻石的物质，菱形，纸牌的方块，棒球内场 vt. 用钻石装饰 adj. 60或75周年纪念的
12,earthquake,n. 地震
13,emerald,n. 翡翠，绿宝石，翠绿色 adj. 翡翠的，翠绿色的
14,eruption,n. 爆发，喷发，出疹，长牙
15,fault,n. 故障，过失，缺点 vt.&amp;vi. 挑剔，指责，发现错误， 断裂
16,fieldstone,n.(建筑用的)散石，大卵石
17,fossil,adj. 化石的 n. 化石，食古不化的人，过时的词
18,gem,n. 宝石，珍品，受到宠爱或评价很高的人，松糕 vt. 用宝石装饰
19,geology,n. 地质学，（某地区的）地质情况，地质学的著作
20,glacier,n. 冰河， 冰川
21,granite,n. 花岗岩；坚毅；冷酷无情
22,iceberg,n. 冰山， 冷若冰山的人
23,lava,n. 熔岩， 火山岩
24,layer,n.层，层次； 膜； [植]压条； 放置者，计划者 vt.把…分层堆放； 借助压条法； 生根繁殖； 将（头发）剪成不同层次 vi.形成或分成层次； [植]通过压条法而生根
25,limestone,n. 石灰石
26,lithosphere,n. 岩圈，地壳
27,magma,n. 岩浆，糊剂
28,magnitude,n.巨大，广大； 重大，重要； 量级； （地震）级数
29,mantle,n. 斗篷， 覆罩之物， 罩子 v. 罩住， 覆盖， 脸红
30,marble,adj. 大理石的，冷酷的 n. 大理石 vt.使有大理石的花纹
31,mineral,adj. 矿物的 n. 矿物， 矿石
32,ore,n. 矿， 矿石
33,outburst,n. 爆发， 突发， (感情)迸发
34,petrify,vt. 硬化(使...石质化，使...发呆)
35,pit,n. 深坑，核，矿井，陷阱，英国剧场正厅后排， 凹陷疤痕 vt. 使...有伤痕，去...的核，与...较量
36,ruby,adj. 红宝石色的 n. 红宝石，红宝石色 Ruby：露比（人名）
37,sediment,n. 沉淀物
38,seismic,adj. 地震的
39,seismology,n. 地震学
40,squirt,v. 喷出，溅迸，注射 n. 水枪，注射器，喷出
41,stratum,n. 地层， 阶层
42,tremor,n. 震动， 颤动， 战栗，兴奋，地震
43,vein,n. 静脉，纹路，岩脉，情绪，风格，气质 vt. 饰以纹路
44,volcanic,adj. 火山的，猛烈的
