1,approximate,adj. 大约的，近似的 vt. &amp;vi. 接近，约等于
2,comparable,adj. 可比较的， 比得上的
3,comparative,adj. 比较的，相当的 n. 对手
4,compare,vt.&amp;vi. 比较，比喻，对照 n. 比较，对照
5,contrast,n.对比，对照； 差异； 对照物，对立面； [摄]反差
6,coordinate,n. 同等的人物; (色调， 图案， 样式等)配套服装  adj. 同等的， 等位的; (大学)男女分院制的  v. 协调， 整合; 使一致  [计算机] 坐标
7,copy,n.复制品； 一份； （报刊等的）稿件； 准备排印的书面材料 vt.&amp; vi.复制； 抄写； 容许复制的 vt.模仿； 仿造…的样式或图案； 抄写； 复制
8,counterpart,n.  职位（或作用）相当的人；对应的事物
9,disparity,n. 不一致
10,dissimilar,adj. 不同的
11,distinction,n. 区别; 卓越; 殊荣
12,duplicate,n. 副本，复制品 adj. 复制的，二重的 vt. 复制，重复 vi. 重复 [计算机] 复制
13,equal,adj. 相等的，平等的，胜任的 n. 对手，匹敌，同辈 vt. 等于，比得上
14,equate,v. 同等看待， 使相等 vt. 等同， 使相等
15,equivalent,adj. 等价的， 相等的 n. 相等物
16,heterogeneous,adj. 异种的， 异质的， 由不同成份形成的 [计算机] 非均匀的
17,homogeneous,adj. 同种的，同质的，均质的
18,identical,adj. 相同的，同一的
19,inferior,adj. 次等的， 较低的， 不如的
20,monotonous,adj. 单调的
21,peerless,adj. 无比的， 出类的， 无双的
22,preferable,adj. 更好的， 更合意的
23,relative,adj. 相对的，比较的，涉及到的 n. 亲属，同类事物，相关物
24,relatively,adv. 比较地， 相对地
25,reproduction,n. 再现， 复制， 生殖，幼树
26,resemble,v. 相似， 类似， 像
27,sample,n. 样品，标本 vt. 采样，品尝 adj. 样例的
28,similar,adj. 相似的，类似的，相同，一样
29,similarity,n. 相似， 类似
30,subordinate,n. 属下，附属物 adj. 下级的，次要的，附属的 vt. 使居下位，使服从，把...放在次要
31,superior,n. 上级，高手，上标 adj. 上层的，上好的，出众的，高傲的
32,typical,adj. 典型的， 有代表性的
