1,canny,adj. 精明的， 谨慎的，节俭的 adv. 仔细地
2,caution,n. 警告，戒备措施，慎重，吸引人眼球的物品或人 vt. 警告
3,cautious,adj. 十分小心的， 谨慎的
4,circumspect,adj. 细心的， 慎重的
5,composed,adj. 镇静的，沉～的 v. 组成，著作，作曲 vbl. 组成，著作，作曲
6,composure,n. 镇静， 沉著
7,conservative,adj. 保守的，守旧的 n. 保守派(党)，保守的人
8,diplomatic,adj. 外交的，古字体的，老练的
9,discreet,adj. 谨慎的
10,discretion,n. 谨慎，判断力，个人选择，选择的自由 [计算机] 判定
11,hardheaded,adj. 顽固的，现实的， 冷静的，脚踏实地的
12,meticulous,adj. 一丝不苟的， 精确的
13,precautious,adj.有防备的，戒备的，警惕的
14,prudent,adj. 谨慎的， 有远见的， 精打细算的
15,vigilant,adj. 警醒的， 警戒著的， 警惕的
