1,apathy,n. 缺乏感情或兴趣，冷漠
2,ardent,adj. 热心的， 激烈的， 热情的
3,ardor,n. 热情， 狂热 =ardour(英)
4,cordial,n. 兴奋剂， 补品 adj. 热忱的， 诚恳的， 兴奋的
5,dedication,n. 奉献，献词，献堂礼
6,devoted,adj. 投入的， 深爱的 v. 投入 vbl. 投入
7,enthusiasm,n. 热心，热忱，热情
8,enthusiastic,adj. 热情的， 热心的
9,fervent,adj. 热的， 炎热的， 热心的
10,fervor,n. 热诚， 热心 =fervour(英)
11,hail,n. 冰雹，致敬，招呼 vt. 向...欢呼，致敬，招呼 vi. 下雹  int. 万岁，欢迎
12,hospitable,adj. 好客的，殷勤的，易于接受的，宜人的
13,impassioned,adj.慷慨激昂的，热烈的 动词impassion的过去式和过去分词形式
14,indifferent,adj. 漠不关心的， 无重要性的， 中立的
15,passionate,adj. 热情的， 易怒的， 激情的
16,sentimental,adj. 感伤性的，感情脆弱的
17,touching,adj.令人同情的，感人的，动人的 v.接触(touch的现在分词)
18,zeal,n. 热情， 热忱
19,zealous,adj. 热心的， 狂热的，热衷的
20,zest,n. 风味，强烈的兴味，风味
