1,cardinal,n.红衣主教，鲜红色，基数，北美红雀 adj. 主要的，深红色的
2,chiefly,adv. 主要地
3,crucial,adj. 关键的，决定性的
4,dominant,adj. 占优势的，主导的，显性的 n. 主宰者
5,elementary,adj. 基本的，初级的，元素的
6,elite,n. 精华， 精锐， 中坚份子
7,essential,adj.基本的； 必要的； 本质的； 精华的 n.必需品； 基本要素； 必不可少的东西
8,fateful,adj. 宿命的， 重大的， 决定性的
9,foremost,adj. 最初的 adv. 在最前面
10,forte,n. 长处， 特长， 优点 n.[音乐]强音记号
11,fundamental,adj. 基本的，根本的，重要的 n. 基本原理，基础
12,gist,n. 要点， 要旨
13,key,adj. 主要的，关键的 n. 钥匙，关键，答案，按键，音调 vt. 上锁，调节，提供解答，键入 vi. 使用钥匙
14,largely,adv. 大部分， 主要地
15,leading,n. 领导， 疏导， 铅板 adj. 领导的， 主要的， 在前的 vbl. 领导， 引领， 以铅接合 [计算机] 行间空白
16,major,n. 主修， 成年人， 陆军少校; 巨头 adj. 主要的， 较多的， 大部份的 vi. 主修
17,merit,n. 功绩， 价值，优点 v. 博得，值得或应得
18,momentous,adj. 重要的， 重大的
19,motif,n. 主题， 意念， 动机
20,optimum,n. 最适宜 adj. 最适宜的
21,pivotal,adj. 枢轴的，中枢的，关键的
22,predominant,adj. 优越的， 占主导地位的
23,predominantly,adv. 优越地，卓越地，主要地
24,preference,n. 偏爱，优先，喜爱物
25,primarily,adv. 首先， 主要地
26,principal,adj. 主要的 n. 负责人， 校长， 资本
27,significant,adj. 有意义的， 意味深长的; 相当数量的; 重要的， 重大的 n. (复)有意义的事物; 标志
28,sole,adj. 唯一的， 独占的 n. 脚底， 鞋底; sole 或soles 鳎鱼 vt. 给(鞋)换底
29,sum,n. 总数(计)，金额，顶点，概略，一笔钱 vt. 总计，概括 vi. 总计
30,superb,adj. 极好的
31,tenor,n. 要旨，誉本，一般趋向，男高音，次中音乐器 adj. (乐器)次中音的， (组钟中的)最低音的， 男高音的 n. [语]本体
32,vital,adj. 至关重要的， 生死攸关的， 有活力的， 充满生机的
