1,anthology,n. 诗选， 文选
2,circulation,n. 流通，循环，发行量，消息传播
3,commentator,n. 注释者(注释者，解说员，新闻广播员)
4,copyright,adj. 版权(的) n. 版权，著作权
5,correspondent,n. 通讯记者，通信者 adj. 与...一致的， 相应的
6,edition,n. 版， 版本
7,editorial,n. 社论 adj. 编辑的
8,encyclopedia,n. 百科全书
9,feature,n. 特征， 容貌 vt. 以...为特色 vi. 起重要作用
10,fortnightly,adj.每两星期一次的，隔周发行的 adv.隔周，每两星期一次地 n.隔周出版物，双周刊
11,headline,n. (pl.)新闻提要， 大字标题
12,impression,n. 印象， 效果
13,magazine,n. 杂志
14,pamphlet,n. 小册子
15,paperback,n. 纸封面本， 普及本， 平装书
16,periodical,n. 期刊 adj. 周期的， 定期的
17,publication,n. 出版， 发行， 出版物， 公布， 发表
18,royalty,n. 皇家， 皇族 n. 版税
19,selection,n. 选择，挑选，挑选出来的人或事
