1,adversity,n. 不幸， 灾难
2,arduous,adj. 费力的， 辛勤的， 险峻的
3,backbreaking,adj. 累断腰的， 极累人的
4,devious,adj. 弯曲的(远隔的，不正当的)
5,dilemma,n. 困境，进退两难
6,embarrass,vt. 使...困窘，阻碍 vi. 变得困窘
7,flounder,vi.挣扎，折腾； 着慌，勉强应付； 行为言语错乱 n. 比目鱼
8,handicap,n. 障碍赛，障碍 vt. 加障碍物，妨碍
9,impasse,n. 僵局， 死路
10,laborious,adj. 艰苦的， 费劲的
11,painstaking,n. 辛苦，苦心，工夫 adj. 辛苦的，勤勉的，小心的
12,plight,n. 困境，境况，誓约，艰难 vt. 宣誓，保证，约定
13,precipitous,adj. 险峻的 adj. 突然的， 急躁的
14,predicament,n. 状态， 穷境， 困局
15,quandary,n. 困惑， 迷惑， 为难
16,strait,n. 海峡，困境 adj. 困难的，窘迫的 adj.
17,strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
