1,abduct,vt. 诱拐， 绑走
2,accomplice,n. 共犯， 同谋，帮凶
3,assassinate,v. 暗杀
4,beguile,vt. 诱骗，欺骗
5,belie,vt. 掩饰， 与...不符， 使...失望
6,blackmail,n. 勒索 vt. 勒索，讹诈
7,connive,v. 假装不见，默许，共谋
8,conspiracy,n. 阴谋
9,conspire,v. 阴谋， 协力， 共谋
10,counterfeit,n. 膺品， 伪造品 adj. 假冒的， 假装的 v. 仿造， 伪装， 假装
11,deceit,n.欺骗，诡计，不诚实
12,deceitful,adj. 欺诈(欺骗，虚伪，谎言)
13,deceive,vt. 欺骗 vi. 行骗
14,deceptive,adj. 迷惑的， 虚伪的， 诈欺的
15,defraud,vt. 欺骗
16,delude,vt. 欺骗，迷惑， 蛊惑
17,desecrate,v. 供俗用，亵渎，污辱
18,despoil,vt. 夺取， 掠夺
19,embezzle,vt. 盗用， 挪用
20,extort,vt. 勒索， 敲诈， 强要
21,fabricate,vt. 制造；伪造；装配
22,falsify,vt. 伪造， 歪曲， 说谎
23,forge,n. 熔炉， 铁工厂 vt. 锻造， 想出， 伪造， 构建 vi. 稳步(高速)前进， 制假
24,fraud,n. 骗子， 欺骗， 诈欺
25,fraudulent,adj. 欺诈的， 不正的， 不诚实的
26,gangster,n. 匪徒， 歹徒
27,homicide,n. 杀人， 杀人者
28,hoodwink,v. 蒙混，欺骗 vt. 欺骗
29,kidnap,v. 绑架，诱拐，拐骗
30,murder,n. 谋杀，危险物 vt. 谋杀，折磨，损坏 vi. 谋杀
31,pilferage,n.行窃，偷盗
32,swindle,vt. 诈取(骗取，骗局) n. 诈取(骗取，骗局)
33,theft,n. 偷窃
