1,arid,adj. 干燥的， 不毛的 adj. 枯燥的，无趣的
2,atmosphere,n. 大气， 气氛，空气， 格调， 情趣， 气压
3,balmy,1. (指空气)暖和的;温暖的 2. 芳香的;能止痛的;如香酯的
4,barometer,n. 气压计， 晴雨表
5,blast,n. 爆破，冲击波，气流，一阵，汽笛声 vi. 爆破，突然发出声音 vt. 喷射，炸掉
6,blizzard,n. 暴风雪 n.暴雪 极负盛名的美国游戏软件制作公司
7,breeze,n. 微风，轻而易举的事 vi. 飘然而行，轻松地得胜或进步
8,chill,n. 寒冷，寒意，失意， 恐惧 adj. 寒冷的，冷漠的，感冒的， 扫兴的 vt. 使...寒心，冷冻，使...惊恐， 使泄气 vi. 变冷，发抖， 凝固， 感到寒冷
9,chilly,adj. 寒冷的，冷淡的，恐怖的
10,climate,n. 气候， 风气， 气氛
11,condense,v. 浓缩， 摘要， 缩短
12,convection zone,对流层
13,crystal,adj. 清澈透明的， 晶体的 n. 水晶， 结晶
14,current,n. (水、气、电)流， 趋势 adj. 流通的， 现在的， 最近的
15,damp,n. 毒气，湿气，丧气 adj. 潮湿的 vt. 呛，抑制，使潮湿 vi. 衰减
16,dank,adj. 阴湿的
17,dew,n. 露水
18,downpour,n. 倾盆大雨
19,drizzle,n. 细雨 v. 下毛毛雨
20,droplet,n. 小滴，飞沫
21,drought,n. 干旱
22,fog,n. 雾， 朦胧， 喷雾， 迷惑 vt. &amp;vi.以雾笼罩， 使模糊， 迷惑
23,frigid,adj. 寒冷的， 死板的，(指女性)性冷淡的
24,frost,n. 霜，冰冻，冷漠 vt. &amp;vi. 覆着霜，冻结，结霜
25,funnel,n. 漏斗；烟囱 vt. 通过漏斗或烟囱等；使成漏斗形 vi. 通过漏斗等；成漏斗形
26,gale,n. 狂风， 一阵（喧闹，笑声等）
27,greenhouse effect,温室效应
28,hail,n. 冰雹，致敬，招呼 vt. 向...欢呼，致敬，招呼 vi. 下雹  int. 万岁，欢迎
29,humid,adj. 潮湿的
30,humidity,n. 湿度， 湿气
31,hurricane,n. 飓风，飓风般猛烈的东西 adj. 有防风罩的
32,meteorology,n. 气象学， 气象状态
33,moisture,n. 潮湿，湿气
34,oxygen,n. 氧，氧气
35,ozone layer,n. 臭氧层
36,precipitate,vt. 使...陷入，促成，使...沉淀， 猛摔 n. 沉淀物， 冷凝物 adj. 仓促的， 迅猛的， 感情用事的
37,precipitation,n. 坠落， 沉淀， 凝结; 冰雹
38,saturate,v. 使渗透， 浸， 使饱和 adj. 浸透的， 饱度高的， 深颜色的
39,serene,adj. 安详的，宁静的，平静的
40,smog,n. 烟雾
41,temperature,n. 温度，发烧
42,tempest,n. 暴风雨， 骚动
43,tepid,adj. 微温的，不热心的
44,tornado,n. 飓风，旋风，龙卷风
45,troposphere,n. 对流层
46,typhoon,n. 台风
47,vapor,n. 蒸汽
48,whirlwind,n. 旋风 adj. 旋风般的
