1,alto,n. 男最高音， 女最低音，中音部，中音乐器 adj. 中音部的
2,band,n. 带;箍，队，乐队 vt. &amp;vi. 联合，结合
3,baritone,n. 男中音，上低音部 =barytone
4,choir,n. 唱诗班， 唱诗班的席位
5,chord,n. 弦， 和音， 情绪
6,composer,n.创作者（尤指乐曲的）
7,concerto,n. [音]协奏曲
8,duet,n. 二重奏，二重唱 vi. 演奏二重奏或二重唱
9,episode,n. 插曲，插话，(作品的一段)情节，有趣的事件
10,euphonious,adj. 悦耳的
11,instrument,n. 乐器， 工具， 仪器， 器械
12,lullaby,n. 摇篮曲， 催眠曲， 任何轻柔的音乐 v.唱摇篮曲使安眠，使安静
13,melody,n. 旋律，曲子，美的音乐，曲调
14,movement,n. 活动，运动，动作，移动
15,opera,n. 歌剧 n. 挪威Opera软件公司的浏览器软件
16,orchestra,n. 管弦乐队
17,overture,n. 提议， 提案， 初步交涉， 序曲 v.提议，建议
18,percussion,n. 打击乐器，撞击，碰撞， 振动，引爆 [医]叩诊
19,pitch,n.场地； 最高点； 音高； 说教 vt.用沥青涂； 扔，投； 树起，搭起； 定位于 vi.抛，扔； [棒球]当投手； 搭帐篷； 向前跌或冲
20,plainsong,n. 单声圣歌
21,prelude,n. 序幕， 前奏，预兆 vi. 成为...的前奏（开头）
22,rest,n.休息； 剩余部分； 支持物； 宁静，安宁 vt.&amp; vi.（使）休息； （使）倚靠[支撑] vi.休息； 静止； 停止； 安心 vt.使休息； 使轻松； 使长眠； 使依赖
23,rhythm,n. 节奏，韵律
24,scale,n. 鳞， 刻度， 衡量， 数值范围 v. 依比例决定， 攀登
25,solo,n. 独奏，独唱 adj. 单独的 adv. 单独地 vt. &amp;vi. 放单飞， 单独表演
26,sonata,n. 奏鸣曲
27,soprano,n. 女高音， 最高音部 adj. 女高音的
28,string,n. 线，一串，字串 vt. 串起，成串，收紧， 悬挂；系；扎 vi. 给…装弦 adj. 线的
29,symphony,n. 交响乐
30,tenor,n. 要旨，誉本，一般趋向，男高音，次中音乐器 adj. (乐器)次中音的， (组钟中的)最低音的， 男高音的 n. [语]本体
31,tone,n. 音调，语气，品质，调子，色调 vt. 使更健壮，装腔作势地说， 定调， 调色 vi. 调和(颜色)， 呈现悦目色调
32,wind,n. 风，气流，风向，管乐器，动向，潮流，空想， 卷绕，一圈 vt. 上发条，缠绕，蜿蜒，使...喘气，使...通风，吹奏 vi. 卷曲， 吹响号角， 迂回
