1,bark,n. 狗叫，咆哮，厉声说话，树皮，小帆船 vi. 吠叫，咆哮，急促地说 vt. 咆哮，叫卖，撕(表皮)
2,blossom,n. 花，开花，全盛期 vi. 开花，成长
3,botanic,adj.植物的，植物学的
4,botanical,adj. 植物学的，植物的 n. 植物制剂
5,botanist,n. 植物学家
6,branch,n. 分支，树枝 vt &amp;vi. 分支， 分岔
7,bud,n. 芽， 花蕾 vi. 发芽， 萌芽 vt. 使发芽
8,cell,n. 细胞， 电池， 小组， 小房间， 单人牢房， (蜂房的)巢室， 手机
9,crossbreed,n.[生物]杂种 v.异种交配，培育杂种，(使)杂交
10,daffodil,n. 黄水仙花
11,fern,n. 羊齿植物，蕨
12,flora,n. 植物， 群落 （大写）Flora：[罗神]花神弗洛拉，弗洛拉（女名）
13,foliage,n. 叶子(总称)，簇叶
14,fructification,n. 结果实，果实，结实器官
15,geobotany,n.植物地理学
16,hawthorn,n. [植]山楂
17,jasmine,n. 茉莉，淡黄色
18,ovary,n. 卵巢， [植]子房
19,peel,n. 皮 vt. 削皮，剥落 vi. 脱皮，脱衣服，脱离
20,petal,n. 花瓣
21,photosynthesis,n. 光合作用
22,pistil,n. [植]雌蕊
23,pollen,n. 花粉 v. 授粉给
24,pollinate,v. 给...授粉 vt. 授以花粉
25,pullulate,vi. 繁殖， 剧增
26,shell,n. 贝壳，壳，外形 vt. &amp;vi. 去壳，脱落，炮击，拾贝壳 n.[计算机] DOS命令 : 安装备用的COMMAND.COM文件， 并改变环境尺寸
27,shoot,n. 射击，芽，发射 vt. 射击，发出，发芽 vi. 飞驰
28,shrub,n. 灌木 n. 果汁甜酒
29,sprout,n. 芽， 萌芽 v. 使发芽， 长芽
30,stamen,n.雄蕊，雄性花蕊
31,starch,n. 淀粉 vt. 给...上浆
32,sunflower,n. 向日葵
33,tassel,n. 流苏 v. 加缨， 摘下...穗须
34,timber,n. 木材，木料
35,tissue,n. (动、植物的)组织，薄的纱织品，餐巾纸，手巾纸
36,trunk,n. 树干，躯干， 干线， (汽车后部)行李箱，象鼻
37,tulip,n. 郁金香
38,vegetable,adj. 蔬菜的， 植物的 n. 蔬菜
39,vegetation,n. 植物，草木，(植物)生长
40,vitamin,n. 维生素
