1,antelope,n. 羚羊，羚羊皮革
2,antenna,n. 触角，天线，感觉，直觉
3,baboon,n. 狒狒
4,batrachia,[动]蛙类
5,beak,n. 鸟嘴，鸟嘴装物体，鼻 n. 地方治安官，校长
6,beaver,n. 海狸
7,bill,n. 鸟嘴，喙
8,buffalo,n.水牛（分非洲水牛和亚洲水牛两种）； （南非或北美的）野牛
9,butterfly,n. 蝴蝶，蝶状物，蝶泳 vt. (烹饪时把鱼肉等）切开摊平
10,calf,n. 小牛，幼崽，愚蠢的年轻人，小牛皮，小腿肚
11,canary,n. 金丝雀，加那利舞，加那利白葡萄酒，告密者
12,caterpillar,n. 毛虫；履带车  卡特彼勒(财富500强公司之一， 总部所在地美国， 主要经营工业农业设备)
13,centipede,n. 蜈蚣
14,chameleon,n. 变色龙， 善变的人， 轻浮的人
15,chimpanzee,n. 黑猩猩
16,cicada,n. 蝉，知了
17,clam,n. 蛤，沉默寡言的人 vi. 挖蚌
18,class,n. 纲
19,coral,adj. 珊瑚(色)的 n. 珊瑚
20,crab,n. 蟹 v. 捕蟹，使横行 n. 爱争吵的人 n. [植]山楂子 v. 批评，抱怨
21,cricket,n. 板球，蟋蟀 vi. 打板球
22,crocodile,n. 鳄鱼
23,crustacean,n. 甲壳类动物 adj. 甲壳纲的
24,cuttlefish,n. 墨鱼， 乌贼
25,dinosaur,n. 恐龙 n.(俚)过时、落伍的人或事物
26,dolphin,n. 海豚
27,dragonfly,n. 蜻蜓
28,dromedary,n. 单峰骆驼
29,eagle,n. 鹰 vt. (高尔夫）鹰击
30,earthworm,n. 蚯蚓
31,falcon,n. 猎鹰
32,family,n. 科
33,fuzzy,[计算机] 模糊的 adj. 毛茸茸的，模糊的，含糊不清的（感情）
34,gazelle,n. 小羚羊，瞪羚
35,genus,n. 种， 类，属
36,gorilla,n. 大猩猩
37,grease,n. 兽脂，油脂 vt. 用油脂涂，上油，促进
38,hedgehog,n. 刺猬
39,hide,vt.隐藏； 躲避，隐匿，躲藏； 遮蔽，覆盖 vi.隐瞒； 遮住； 遮挡； 掩盖 n.兽皮； &lt;口&gt;生命； &lt;口&gt;人的皮肤； （观看野生动物的）隐蔽处
40,jellyfish,n. 水母， 海蜇， 意志薄弱的人
41,larva,n. 幼虫，幼体
42,leopard,n. 豹
43,lizard,n. 蜥蜴， 蜥蜴皮
44,lobster,n. 龙虾
45,mammal,n. 哺乳动物
46,mollusk,n. 软体动物
47,moth,n. 蛾;飞蛾
48,nervous,adj. 紧张的，焦虑的，神经质的
49,octopus,n. 章鱼
50,order,n.目
51,ostrich,n. 鸵鸟；鸵鸟般的人
52,oyster,n. 牡蛎
53,peacock,n. (雄)孔雀，爱炫耀的人 v. 炫耀
54,plankton,n. 浮游生物
55,porpoise,n. 海豚 vi. (船，鱼雷)在水面急行
56,prawn,n. 对虾， 明虾
57,python,n. 丹舌，大蟒，巨蟒
58,rattlesnake,n. 响尾蛇
59,reindeer,n. 驯鹿
60,reptile,adj. 爬虫类的 n. 爬行动物
61,rhinoceros,n. 犀牛 n. (对受攻击、批评、侮辱等）麻木不仁
62,salmon,adj. 橙红色的 n. 鲑，大马哈鱼
63,sardine,n. 沙丁鱼
64,scale,n. 鳞， 刻度， 衡量， 数值范围 v. 依比例决定， 攀登
65,scorpion,n. 蝎子， 心黑的人， 蝎子鞭 Scorpion：天蝎座
66,seagull,n. 海鸥
67,shrimp,n. 虾，瘦小的人事物 vi. 钓虾
68,spine,n. 背骨， 脊柱， 尖刺
69,spleen,n. 脾， 脾气， 怒气
70,sponge,n. 海绵， 海绵状的东西 v. 用海绵擦拭， 吸收掉， 抹掉
71,starfish,n. 海星
72,suborder,n.[生]亚目，次等级
73,tentacle,n. (动物)触角， 触须
74,toe,n. 脚趾，足尖 vt. 趾触，趾踢 vi. 踮着脚尖走
75,turkey,n. (Turkey)土耳其，火鸡，笨蛋，失败之作
76,turtle,n. 海龟
77,vulture,n. 秃鹰， 兀鹰
78,walrus,n. 海象
79,worm,n. 虫，蠕虫 vt. 蠕动，驱虫，慢慢探听出 vi. 蠕动
80,zebra,n. 斑马，斑马线
