1,adapt,vt. 使适应，改编 vi. 适应，适合
2,adaptable,adj. 能适应的，适应性强的，可改编的
3,adaptation,n. 改编，适应，改编成的作品
4,advisable,adj. 明智的，可取的
5,available,adj. 可用的，可得到的，有用的，有效的
6,becoming,adj. 合适的，适当的，好看的 动词become的现在分词形式
7,coincide,v. 与...一致，符合，暗合
8,competent,adj. 有能力的，胜任的，足够的
9,conformity,n. 适合，一致，相似
10,correspondence,n. 通信；一致；相当
11,expedient,n. 权宜之计，临时手段 adj. 权宜的，方便的，有用的
12,feasible,adj. 可行的，可能的
13,fit,adj. 适宜的，对的，准备好的 v. 适合，安装 n. 适宜，发作，一阵
14,fitting,adj. 适合的， 恰当的 n. 试衣
15,methodical,adj. 有方法的，有系统的
16,pertinent,adj. 相关的， 中肯的， 切题的
17,plausible,adj. 似真实的，似合理的，说得蛮像回事的
18,preferable,adj. 更好的， 更合意的
19,propriety,n. 适当，正当，得体 (复数）proprieties:礼节，礼仪
20,qualified,adj. 有资格的 vbl. 取得资格
21,rational,adj. 合理的，理性的，能推理的 n. 有理数
22,reliable,adj. 可靠的，可信的
23,sober,adj. 清醒的，沉着冷静的，稳重的，颜色暗淡的 vt. 使清醒，使沉着 vi. 清醒，冷静下来
24,suit,n. 套装， 诉讼， 请求 v. 适合， 取悦， 满足
25,suitable,adj. 合适的， 适宜的
26,tally,n. 计数器，记分，一致， 测量 vt. 计算，记录，使一致 vi. 计算，记分，一致
27,temperate,adj. 温和的， 适度的， 有节制的
