1,array,n. 数组，(陈)排列，大批，一系列 vt. 排列，布署，打扮
2,aspect,n. 方面， 外貌， 外观; 方位， 方向
3,attire,n. 服装， 盛装 v. 穿衣， 打扮
4,bald,adj. 秃头的，单调的 vt. &amp;vi. 使变秃头
5,clothing,n. (总称)衣服
6,corpulent,adj. 肥胖的
7,cosmetics,n. 化妆品
8,costume,n. 服装，剧装 vt. 提供服装， 为...设计服装 adj. 服装打扮的
9,garb,n. 打扮， 装束，外表 vt. 打扮，穿衣
10,guise,n.装束，外观，伪装，借口
11,obese,adj. 极肥胖的
12,outfit,n. 用具，配备，机构，全套服装 vt. 配备，供应 vi. 得到装备
13,ragged,adj. 衣衫褴褛的， 粗糙的， 刺耳的
14,shabby,adj. 破旧的(低劣的)
15,sole,adj. 唯一的， 独占的 n. 脚底， 鞋底; sole 或soles 鳎鱼 vt. 给(鞋)换底
16,stodgy,adj. 塞满的，笨重的，沉闷的， 式样难看的，难消化的
17,stout,n. 烈啤酒 adj. 强壮的， 稳重的， 肥胖的
18,strap,n. 绳， 皮带， 镣铐， 皮鞭 vt. 用绳索捆扎， 系住， 鞭笞， 磨快
