1,baggage,n. 行李
2,domestic,adj. 国内的， 家庭的， 驯养的 n. 家仆， 佣人
3,dwell,vi. 居住， 存在， 冥想， 详细阐述
4,furniture,n. 家具
5,hurdle,n. 栏干，障碍 [计算机] 障碍 vt. 跨越某物
6,idyllic,adj. 田园诗的
7,inhabit,v. 居住于， 占据， 栖息
8,nostalgia,n. 乡愁， 向往过去， 怀旧之情
9,nurture,n. 养育， 照顾， 教育， 滋养， 营养品 vt. 养育， 给与营养物， 教养， 扶持
10,nutrition,n. 营养
11,regimen,n. 养生法， 生活规则，训练课程，统治，制度
12,reside,v. 住，居留，属于
13,residency,n. 居住，住所，管辖区 (美)高级专科住院实习(期)
14,resident,adj. 居住的 n. 居民，旅客
15,rubbish,adj. 毫无价值的 n. 废话，垃圾，废物
16,scale,n. 鳞， 刻度， 衡量， 数值范围 v. 依比例决定， 攀登
17,scorch,v. （使）烧焦， 变焦， （使）枯萎 n. 烧焦
18,singe,v. (轻微地)烧焦，烫焦 vt. 烤焦
19,sojourn,vt. 旅居(逗留) n. 旅居(逗留)
20,sustenance,n. 维持生计， 食物
21,transportation,n. 运输， 运输系统， 运输工具
22,trash,n. 废物，垃圾 vt. 废弃，擦去，捣毁 vi. 捣毁
