1,academic,n. 教学人员，学术人员 adj. 学院的，理论的，学术性的
2,commence,v. 开始；着手；&lt;英&gt;获得学位
3,cram,v. 塞满， 填满， 猛吃，仓促备考 n. 仓促备考，挤成一堆的人群 Cram n. 克拉姆（姓氏）
4,credit,n. 信用， 荣誉， 贷款， 学分 v. 归功于， 赞颂， 信任
5,discipline,n. 训练， 纪律， 惩罚; 学科 vt. 训练， 惩罚
6,discourse,n. 谈话，演讲 vi. 谈话，讲述 vt. 叙述，讨论
7,dissertation,n. 论文
8,essay,n. 尝试，短文，论文 vt. 尝试
9,ken,n. 1. 视野，眼界 2. 知识范围;理解范围 3. 人的理解能力之外
10,literate,n. 学者 adj. 精通文学的， 受过教育的
11,margin,n. 差额，利润，页边空白，边缘 vt. 使围绕于，加边缘
12,pamphlet,n. 小册子
13,stationery,n. 文具，信笺
14,thesis,n. 毕业论文， 论题， 论文
15,transcript,n. 成绩单 n. 抄本，誊本;副本 n.笔录
