1,adjust,vt. 调整， 使...适于 vi. 适应
2,coax,v. 哄， 诱骗， 灵巧慢慢地做
3,correct,adj. 正确的 v. 改正，纠正 vt. 改正
4,embellish,v. 修饰， 装饰， 润色
5,embroider,v. 刺绣， 镶边， 装饰
6,garnish,n. 装饰， 装饰品，勒索金 vt. 装饰，配菜，[法]传讯
7,gild,vt. 镀金，虚饰 n. 协会，行会（=guild)
8,innovation,n. 创新， 革新
9,mend,n. 修补， 改进， 修补处 vt. 修改， 改进 vi. 改过自新， 改进， 痊愈
10,modification,n. 修正， 修饰， 修改
11,modify,vt. 修改，调正，缓和 vi. 修改
12,modulate,v. 调整， 调节（声音），变调
13,ornament,n. 装饰，装饰物 vt. 装饰
14,refine,vt. 精炼，净化，使优雅 vi. 被提纯，改进
15,reinforce,vt. 加强，加固；强化；补充 vi. 求援；得到增援；给予更多的支持 n. 加强；加固物；加固材料
16,renovate,vt. 更新，革新，刷新
